Name	University	Country	
Tali Kaufman	AISTEDA	RO	Linear_code;Hadamard_code
Carsten Lund	AgroParisTech	FR	
Ravi B Boppana	Massachusetts Institute of Technology	US	Majority_function
Pierre Senellart	AgroParisTech	FR	Semantic_Web;Data_management
Anat Rapoport	Tel Aviv University	IL	
Fred Dang Ngoc	AgroParisTech	FR	XML
Daniel Deutch	Tel Aviv University	IL	
Richard M. Karp	Applied Science University	JO	
Yael Amsterdamer	Bar-Ilan University	IL	
Boris Kostenko	Tel Aviv University	IL	
Paul Seymour	Princeton University	US	Planar_graph
V. Rödl	Emory University	US	Random_graphs;Graph_embedding
Paul Erdős	Walcz College	PL	
C Mauduit	Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse	FR	
Pawel Pralat	Dalhousie University	CA	Social_network
Zvi Lotker	Osaka Electro-Communication University	JP	Randomized_algorithms;Approximation_algorithms;Data_structures
S Suri	University of Novi Sad	RS	
Paula Ta-Shma	Bahrain Polytechnic	BH	
Tibor Szabo´	University of Kentucky	US	
A. Itai	Hebrew University of Jerusalem	IL	
Oded Goldreich	Weizmann Institute of Science	IL	Property_testing
Arthur L. Liestman	Simon Fraser University	CA	Clustering;Distance_(graph_theory)
Dana Ron	Punjab Engineering College Deemed University	IN	Property_testing;Approximation_algorithms;Directed_graphs
A K Dewdney	University of Western Ontario	CA	
Slava Novgorodov	Tel Aviv University	IL	
L. Wong	City University of Hong Kong	HK	
Ido Ben-Eliezer	Tel Aviv University	IL	
A. Andoni	AISTEDA	RO	
Dan Suciu	University of Washington	US	Query_optimization;Query_languages;Unstructured_data;Relational_database
Peter Bro Miltersen	IT University of Copenhagen	DK	Parameterized_complexity
D. Vista	University of Toronto	CA	
Ankur Moitra	Paine College	US	Approximation_algorithm;Algorithms;Theory_(mathematical_logic)
Y Caro	University of Haifa	IL	
Y Caro	University of Haifa	IL	
H. Ramesh	Bard College	US	
Tal Sterenzy	Tel Aviv University	IL	
Zoë Abrams	Stanford University	US	Approximation_algorithm
Keith E. Mellinger	University of Mary	US	
Sheldon M. Ross	University of Calabria	IT	Random_variable;Markov_chain
A V Kostochka	University of Illinois	US	Planar_graphs;Equitable_coloring;Chromatic_number
Daniel Cohen-Or	Tel Aviv University	IL	Image_segmentation;Shape_analysis_(digital_geometry)
Wang-Chiew Tan	Institute of Education, University of London	GB	Data_exchange;Data_integration
Mehmet Serkan Apaydin	Sabanci University	TR	
L. A. Székely	University of South Carolina	US	Wiener_index;Binary_tree;Phylogenetic_tree
M Dietzfelbinger	Universität Ulm	DE	Boolean_function
D Van Gucht	Indian University	IN	
Phillip Gnassi Bradford	Indian University	IN	
Maria Gradinariu	AgroParisTech	FR	Self-stabilization
R. Yuster	IE University	ES	Dendritic_spine
H. V. Jagadish	Communication University of China	CN	Data_redundancy
E. Welzl	International Institute for Population Sciences	IN	Geometric_graphs;Range_searching;Line_segment_intersection
Laks V. S. Lakshmanan	University of British Columbia	CA	Data_mining;Data_analysis;Semantic_Web
Bernd Amann	AgroParisTech	FR	XML
L. Fortnow	Northwestern University	US	
Victor Vianu	Institute of Paper Science and Technology	US	Relational_model;Query_languages
Christoph Koch	Universität Stuttgart	DE	
Dmitry N. Kozlov	Universität Bremen	DE	
L. O. Libkin	University of Pennsylvania	US	Functional_dependency
U. Fiege	Weizmann Institute of Science	IL	Identification_scheme;Zero-knowledge_proof
Tibor Szabó	University of Switzerland	CH	Connectivity_(graph_theory)
Anat Eyal	Tel Aviv University	IL	
Santosh Vempala	Massachusetts Institute of Technology	US	Approximation_algorithms;Integer_programming;Linear_programming;Randomized_algorithms;Convex_optimization
H A Kierstead	Arizona State University	US	Planar_graph;Equitable_coloring
Martin Wahlen	University of Berne	CH	
Eran Halperin	Tel Aviv University	IL	Approximation_algorithms
Wojciech Samotij	Tel Aviv University	IL	Random_graph
Shakhar Smorodinsky	Bankura University	IN	
Eliana Frigerio	University of Milan	IT	Morphological_skeleton
Noga Alon	Tel Aviv University	IL	Graph_property;Geometric_graphs;Random_graphs;Approximation_algorithms
József Balogh	Ohio State University	US	Graph_products;Graph_property;Planar_graphs;Crossing_number_(graph_theory)
B. L. Shader	University of Wyoming	US	
Graham Brightwell	Manhattan School of Music	US	Random_graphs;Random_graph
M. R. Capalbo	The Johns Hopkins University	US	
Nathan Linial	Hebrew University of Jerusalem	IL	Directed_graphs;Random_graph;Random_graphs
N. Linial	Hebrew University of Jerusalem	IL	Graph_coloring;Graph_connectivity;Graph_products
Nicolò Cesa-Bianchi	University of Milan	IT	Algorithmic_learning_theory;Computational_learning_theory;Machine_Learning_(journal)
Shlomi Dolev	Ben-Gurion University of the Negev	IL	Distributed_algorithms;Distributed_algorithm
Oren Nechushtan	Kure University	JP	Modular_design
Bogdan Cautis	Webb Institute	US	XML;Semi-structured_data
Mauricio Karchmer	Galillee College	IL	Communication_complexity
Uzi Vishkin	University of Mary	US	Graph_algorithms;Integer_sorting;Pattern_matching
Uri Zwick	Oregon Health Sciences University	US	Approximation_algorithms;Directed_graphs
Uri Zwick	Applied Science University	JO	Approximation_algorithms;Directed_graphs
