Name	University	Country	
Jafar Adibi	Marian College	US	http://dbpedia.org/resource/Knowledge_discovery;http://dbpedia.org/resource/Data_mining;http://dbpedia.org/resource/Predictive_modelling;http://dbpedia.org/resource/Hidden_Markov_models
Dragutin Petkovic	AISTEDA	RO	http://dbpedia.org/resource/Software_engineering;http://dbpedia.org/resource/Machine_learning;http://dbpedia.org/resource/Computer_vision;http://dbpedia.org/resource/Image_processing;http://dbpedia.org/resource/Pattern_recognition
Jarosław Grytczuk	The Scripps Research Institute	US	
Uri Stav	College of Science, Baghdad University	IQ	http://dbpedia.org/resource/Hereditary_property;http://dbpedia.org/resource/Random_graph
Aniket Kittur	Carnegie Mellon University	US	http://dbpedia.org/resource/Collective_intelligence;http://dbpedia.org/resource/Social_translucence;http://dbpedia.org/resource/Collaborative_Problem_Solving
Oliver Amft	IE University	ES	http://dbpedia.org/resource/Activity_recognition;http://dbpedia.org/resource/Smart_environment;http://dbpedia.org/resource/Wearable_computer;http://dbpedia.org/resource/Gesture_recognition;http://dbpedia.org/resource/Wearable_Computing_Group
Ying Ge	Zhejiang University	CN	http://dbpedia.org/resource/Water_treatment;http://dbpedia.org/resource/Biomass;http://dbpedia.org/resource/Constructed_wetland
Peter Tarczy-Hornoch	University of Washington	US	http://dbpedia.org/resource/Data_management;http://dbpedia.org/resource/Clinical_decision_support_system;http://dbpedia.org/resource/Data_integration;http://dbpedia.org/resource/Electronic_medical_record
Jun Zhu	Tsinghua University	CN	
Agma J.  M. Traina	Applied Science University	JO	http://dbpedia.org/resource/Feature_extraction;http://dbpedia.org/resource/Query_optimization;http://dbpedia.org/resource/Feature_selection;http://dbpedia.org/resource/Image_retrieval
Mona Singh	Princeton University	US	http://dbpedia.org/resource/Protein_function_prediction;http://dbpedia.org/resource/Protein_function_prediction;http://dbpedia.org/resource/Binding_site
Mikko Koivisto	University of Helsinki	FI	http://dbpedia.org/resource/Dynamic_programming;http://dbpedia.org/resource/Domatic_number
Dhruv Mubayi	University of Illinois	US	
Mark Smith	Case Western Reserve University	US	http://dbpedia.org/resource/Mouse_model;http://dbpedia.org/resource/Oxidative_stress;http://dbpedia.org/resource/Alzheimer_Disease_International
Bo Li	Hong Kong University of Science and Technology	HK	http://dbpedia.org/resource/Wireless_Sensor_Networks;http://dbpedia.org/resource/Cellular_network;http://dbpedia.org/resource/Intrusion_detection_system
John H. Howard	AISTEDA	RO	http://dbpedia.org/resource/Scheduling_(computing);http://dbpedia.org/resource/Andrew_File_System;http://dbpedia.org/resource/File_system
T. Leighton	Massachusetts Institute of Technology	US	http://dbpedia.org/resource/Parallel_algorithm;http://dbpedia.org/resource/Approximation_algorithm;http://dbpedia.org/resource/Iterative_method;http://dbpedia.org/resource/Average-case_analysis
Walid Rjaibi	Colby College	US	
Y. Mansour	Imperial College London	GB	
Stavros Papadopoulos	Hong Kong University of Science and Technology	HK	
Steven McCanne	University of Calabria	IT	http://dbpedia.org/resource/Reliable_multicast;http://dbpedia.org/resource/Packet_capture;http://dbpedia.org/resource/IP_multicast;http://dbpedia.org/resource/Network_performance
Michalis Faloutsos	IE University	ES	http://dbpedia.org/resource/Internet_Routing_in_Space;http://dbpedia.org/resource/Wireless_Sensor_Networks;http://dbpedia.org/resource/Network_layer;http://dbpedia.org/resource/Routing_protocol
Yifat Ben-David Kolikant	Hebrew University of Jerusalem	IL	http://dbpedia.org/resource/Engineering_education;http://dbpedia.org/resource/Computer_science;http://dbpedia.org/resource/Case_study
Michael Schrefl	Universität Linz	AT	http://dbpedia.org/resource/Data_modeling;http://dbpedia.org/resource/Business_process;http://dbpedia.org/resource/Business_process;http://dbpedia.org/resource/Business_rules_engine;http://dbpedia.org/resource/Data_warehouse
Joon Ho Lee	University of Science and Technology	KR	http://dbpedia.org/resource/Text_Retrieval_Conference;http://dbpedia.org/resource/Relevance_feedback;http://dbpedia.org/resource/Information_retrieval;http://dbpedia.org/resource/Statistical_modelling
Bin Zhou	Harbin Institute of Technology	CN	
Oscar Garcia	University of North Texas	US	http://dbpedia.org/resource/Distributed_Systems_Technology_Centre;http://dbpedia.org/resource/Sensor_networks;http://dbpedia.org/resource/Computer_architecture;http://dbpedia.org/resource/Parallel_computation
Rada Chirkova	North Carolina State University	US	http://dbpedia.org/resource/Query_optimization;http://dbpedia.org/resource/Schema_evolution;http://dbpedia.org/resource/SQL_queries;http://dbpedia.org/resource/Materialized_view
Geoffrey G. Xie	University of Applied Sciences	EE	http://dbpedia.org/resource/Network_architecture;http://dbpedia.org/resource/Wireless_Sensor_Networks;http://dbpedia.org/resource/Routing_protocol;http://dbpedia.org/resource/Sensor_networks
Swan Dubois	AgroParisTech	FR	http://dbpedia.org/resource/Byzantine_fault_tolerance;http://dbpedia.org/resource/Self-stabilization
Ramana Yerneni	Missouri Tech	US	http://dbpedia.org/resource/Data_storage_device;http://dbpedia.org/resource/Boolean_expression
Dan Siewiorek	European University Institute	IT	http://dbpedia.org/resource/Wearable_computer;http://dbpedia.org/resource/Wearable_Computing_Group;http://dbpedia.org/resource/Parallel_processing;http://dbpedia.org/resource/Gesture_recognition
Martin Wahlen	University of Berne	CH	
Toshiya Itoh	Tokyo Institute of Technology	JP	http://dbpedia.org/resource/Approximation_algorithm;http://dbpedia.org/resource/Quadratic_residuosity_problem;http://dbpedia.org/resource/Online_algorithm;http://dbpedia.org/resource/Probabilistic_algorithm
Yonggang Shi	Boston University	US	http://dbpedia.org/resource/Image_registration;http://dbpedia.org/resource/Image_stabilization;http://dbpedia.org/resource/Parallel_processing;http://dbpedia.org/resource/Motion_estimation
Marek Karpinski	Universität Linz	AT	http://dbpedia.org/resource/Approximation_algorithm;http://dbpedia.org/resource/Polynomial-time_approximation_scheme;http://dbpedia.org/resource/Computational_complexity_theory;http://dbpedia.org/resource/Approximation_algorithm
E. Szemerédi	Hungarian Academy of Craft and Design	HU	http://dbpedia.org/resource/Arithmetic_progression;http://dbpedia.org/resource/Random_regular_graph;http://dbpedia.org/resource/Euclidean_plane_isometry
Ian Foster	University of Chicago	US	http://dbpedia.org/resource/Distributed_Systems_Technology_Centre;http://dbpedia.org/resource/Grid_computing;http://dbpedia.org/resource/Distributed_System_Security_Architecture;http://dbpedia.org/resource/Data_integration
Jeffrey Scott Vitter	University of Kansas	US	http://dbpedia.org/resource/Data_structure;http://dbpedia.org/resource/Parallel_algorithm;http://dbpedia.org/resource/Query_optimization;http://dbpedia.org/resource/Data_compression;http://dbpedia.org/resource/Pattern_matching
Stephan Günnemann	Carnegie Mellon University	US	http://dbpedia.org/resource/High-dimensional_model_representation;http://dbpedia.org/resource/Correlation_clustering;http://dbpedia.org/resource/Mixture_model;http://dbpedia.org/resource/Density_estimation
Shafi Goldwasser	Massachusetts Institute of Technology	US	http://dbpedia.org/resource/Private_information_retrieval;http://dbpedia.org/resource/Probabilistic_encryption
Wenfei Fan	University of Edinburgh	GB	http://dbpedia.org/resource/Query_optimization;http://dbpedia.org/resource/Data_model;http://dbpedia.org/resource/QUEL_query_languages;http://dbpedia.org/resource/Pattern_matching
Amotz Bar-Noy	Royal School of Library and Information Science	DK	http://dbpedia.org/resource/Wireless_Sensor_Networks;http://dbpedia.org/resource/Bandwidth_allocation;http://dbpedia.org/resource/Load_balancing_(computing);http://dbpedia.org/resource/Sensor_networks
